							
END 2023							
lokakuu	1vk						
toukokuu	5vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka			5.83	8.85	7.34		
vaatteet			53.9				
kodintarv				13.95			
							
							
							
							
							
							
							
END							
kesakuu	1vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	41.73	5.24	17.94	23.51	17	24.91	
kosmetiikka	17.86						
vitamiinit	29.2						
kodintarv	6.49		16.73				
vaatteet			14.99				
							
							
							
							
							
END							
kesakuu	2vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	16.39			6.95		55.22	45.45
laake			4.5	53.85			
kodintarv			49.95	5.49			
vaatteet			25.9	34.3			
ravintola			51.9	33.2			
kirjat			24.95				
kosmetiikka				9.69			
kodinkoneet				498.9			
alkoholi				27.49			
							
END							
kesakuu	3vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka		35.71		66.44			
kodintarv	20						
ravintola						41.5	
							
							
							
							
							
							
							
END							
kesakuu	4vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	48.79	13.42	57.66	4	20.92		28.65
ravintola	28.2		17				21.9
alkoholi	23.9						
elainkauppa		16.87					
kodintarv			5.58	6			19.4
liikunta							12
							
							
							
							
END							
kesakuu	5vk						
luokka	ma	ti	ke	to	pe	la	su
							
							
							
							
							
							
							
							
							
							
END							
heinakuu	1vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	30.87	6.18	19		14.83	28.15	
ravintola	7.2						
kodintarv	3.95						
kosmetiikka					9.3		
kukat					4.99		
lahjat						14.14	
							
							
							
							
END							
heinakuu	2vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	23.66	11	21.16	9.51			22.02
kodintarv	6.29			40.1			
ravintola			4.4				
kahvila				14.09			
kukat				28			
							
							
							
							
							
END							
heinakuu	3vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	31.3	2.44	19.18	12.38	2.44	15.32	
kosmetiikka	13.52			27.62		23.59	
kodintarv						3.84	
kirjat		10.71				48.01	
laake				24.56			
							
							
							
							
							
END							
heinakuu	4vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	21.25	6.93	9.34	4.96		18.88	
kosmetiikka	22.4						
kodintarv		3.59				52.51	
							
							
							
							
							
							
							
END							
heinakuu	5vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	1.84	6.18	19.21				
kodintarv							
vaatteet	18.74						
laake			3.3				
							
							
							
							
							
							
END							
elokuu	1vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka				3		11.63	
kodintarv				21.94		5.98	
vaatteet							
laake							
kosmetiikka				5.9	45.2		
uinti					40		
ravintola					14.5		
							
							
							
END							
elokuu	2vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	6.97	9.61	17.68	20.35	36.71	6.24	47.28
kodintarv			9				
kosmetiikka	54.8						
							
							
							
							
							
							
							
END							
elokuu	3vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	15.59		10.7	14.95		14.25	10.74
kodintarv	6.98		4.49			10.94	
leffa		31.8					
ravintola			22.9				
retkeily			71.82				
vaatteet			68.95				
terveys			162.4				
							
							
							
END							
elokuu	4vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	7.18	1.25	28.76	18.22	30.46		11.92
kodintarv		7.37	3.95				
laake			4.5				
							
							
							
							
							
							
							
END							
elokuu	5vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	16.28	13.48	11.51	40.68	9.23	2.44	20.55
kodintarv		39.59				19	
kukat	15						
ravintola		4.9					
laake			8.49				
kosmetiikka						26.4	
kirjat							28.71
							
							
							
END							
syyskuu	1vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	21.11	11.39	10		6.95	14.06	15.98
kodintarv		8	167				6.48
laake					20.06		
kosmetiikka					19.92		
ravintola							17.8
							
							
							
							
							
END							
syyskuu	2vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	9.3	7.99	19.96	23.26		23.99	
kodintarv	8.95					88.04	
kirjat							
kosmetiikka		21.98					
vaatteet						25.99	
							
							
							
							
							
END							
syyskuu	3vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	16.15		21.2	35	16.14	3.87	
kirjat	17.91						
kodintarv							
vaatteet				7.98			
							
							
							
							
							
							
END							
syyskuu	4vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	12.82	7.98	20.47	12.95	11.9	35.7	
kodintarv	9.19				3.4		
kosmetiikka			17		4.69		
kukat			8.89				
							
							
							
							
							
							
END							
syyskuu	5vk						
luokka	ma	ti	ke	to	pe	la	su
							
							
							
							
							
							
							
							
							
							
END							
lokakuu	1vk						
luokka	ma	ti	ke	to	pe	la	su
